Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Sales_binned,Sales_binary,Sales_original,PCA1,Delivery_Days,Order_Month,Order_Year,anomaly
119,US-2016-136476,2016-05-04,2016-10-04,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Bristol,Tennessee,37620.0,South,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,-0.1164544464418873,2.0,0.0,157.794,-0.1164544464418873,153,5,2016,1
127,US-2018-107272,2018-05-11,2018-12-11,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023.0,West,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",-0.3623999746143639,0.0,0.0,2.388,-0.3623999746143639,214,5,2018,1
129,US-2017-125969,2017-06-11,2017-10-11,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004.0,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",-0.2373176047918355,2.0,0.0,81.424,-0.2373176047918354,122,6,2017,1
130,US-2017-125969,2017-06-11,2017-10-11,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004.0,West,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,0.0113658212979568,3.0,1.0,238.56,0.0113658212979569,122,6,2017,1
131,US-2018-164147,2018-02-02,2018-05-02,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229.0,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,-0.2712707041664562,2.0,0.0,59.97,-0.2712707041664562,89,2,2018,1
132,US-2018-164147,2018-02-02,2018-05-02,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229.0,East,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,-0.2422553166427172,2.0,0.0,78.304,-0.2422553166427171,89,2,2018,1
133,US-2018-164147,2018-02-02,2018-05-02,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229.0,East,OFF-FA-10002780,Office Supplies,Fasteners,Staples,-0.332222958725706,1.0,0.0,21.456,-0.3322229587257059,89,2,2018,1
141,CA-2017-110366,2017-05-09,2017-07-09,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",-0.2351399472576004,2.0,0.0,82.8,-0.2351399472576004,61,5,2017,1
146,CA-2016-110744,2016-07-09,2016-12-09,Standard Class,HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,91104.0,West,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,0.6972171625853342,3.0,1.0,671.93,0.6972171625853343,153,7,2016,1
148,CA-2017-114489,2017-05-12,2017-09-12,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132.0,Central,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,0.2422513283252441,3.0,1.0,384.45,0.2422513283252441,123,5,2017,1
149,CA-2017-114489,2017-05-12,2017-09-12,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132.0,Central,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,-0.1288367084679446,2.0,0.0,149.97,-0.1288367084679446,123,5,2017,1
151,CA-2017-114489,2017-05-12,2017-09-12,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132.0,Central,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,-0.094684201499346,2.0,0.0,171.55,-0.0946842014993459,123,5,2017,1
158,CA-2015-104269,2015-01-03,2015-06-03,Second Class,DB-13060,Dave Brooks,Consumer,United States,Seattle,Washington,98115.0,West,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,0.3579678716306193,3.0,1.0,457.568,0.3579678716306194,151,1,2015,1
161,CA-2017-162733,2017-11-05,2017-12-05,First Class,TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,90045.0,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,-0.3567152755860411,0.0,0.0,5.98,-0.3567152755860411,30,11,2017,1
164,CA-2017-113817,2017-07-11,2017-11-11,Standard Class,MJ-17740,Max Jones,Consumer,United States,Seattle,Washington,98115.0,West,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,-0.3223728566231778,1.0,0.0,27.68,-0.3223728566231777,123,7,2017,1
165,CA-2015-139892,2015-08-09,2015-12-09,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207.0,Central,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,-0.3504545101751155,0.0,0.0,9.936,-0.3504545101751154,122,8,2015,1
167,CA-2015-139892,2015-08-09,2015-12-09,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207.0,Central,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,0.0705044163119788,3.0,1.0,275.928,0.0705044163119789,122,8,2015,1
169,CA-2015-139892,2015-08-09,2015-12-09,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207.0,Central,OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters,-0.3154347384327081,1.0,0.0,32.064,-0.315434738432708,122,8,2015,1
170,CA-2015-139892,2015-08-09,2015-12-09,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207.0,Central,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,-0.0845080838066634,2.0,0.0,177.98,-0.0845080838066634,122,8,2015,1
171,CA-2015-139892,2015-08-09,2015-12-09,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207.0,Central,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,-0.1383228125814655,2.0,0.0,143.976,-0.1383228125814655,122,8,2015,1
172,CA-2015-118962,2015-05-08,2015-09-08,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004.0,West,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",-0.3330395803010441,1.0,0.0,20.94,-0.3330395803010441,123,5,2015,1
173,CA-2015-118962,2015-05-08,2015-09-08,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004.0,West,OFF-PA-10001144,Office Supplies,Paper,Xerox 1913,-0.1905739326034884,2.0,0.0,110.96,-0.1905739326034883,123,5,2015,1
174,CA-2015-118962,2015-05-08,2015-09-08,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004.0,West,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray",0.1721326548428191,3.0,1.0,340.144,0.1721326548428191,123,5,2015,1
181,CA-2015-166191,2015-05-12,2015-09-12,Second Class,DK-13150,David Kendrick,Corporate,United States,Decatur,Illinois,62521.0,Central,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",-0.3269054228862948,1.0,0.0,24.816,-0.3269054228862948,123,5,2015,1
182,CA-2015-166191,2015-05-12,2015-09-12,Second Class,DK-13150,David Kendrick,Corporate,United States,Decatur,Illinois,62521.0,Central,TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,0.2806990115641291,3.0,1.0,408.744,0.2806990115641291,123,5,2015,1
202,CA-2015-133690,2015-03-08,2015-05-08,First Class,BS-11755,Bruce Stewart,Consumer,United States,Denver,Colorado,80219.0,West,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,-0.0199854837552377,3.0,0.0,218.75,-0.0199854837552376,61,3,2015,1
203,CA-2015-133690,2015-03-08,2015-05-08,First Class,BS-11755,Bruce Stewart,Consumer,United States,Denver,Colorado,80219.0,West,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",-0.3620644634244964,0.0,0.0,2.6,-0.3620644634244963,61,3,2015,1
205,CA-2018-126382,2018-03-06,2018-07-06,Standard Class,HK-14890,Heather Kirkland,Corporate,United States,Franklin,Tennessee,37064.0,South,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",-0.3105223481810616,1.0,0.0,35.168,-0.3105223481810615,122,3,2018,1
207,CA-2018-135860,2018-01-12,2018-07-12,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601.0,Central,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",-0.2333674353111301,2.0,0.0,83.92,-0.23336743531113,181,1,2018,1
208,CA-2018-135860,2018-01-12,2018-07-12,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601.0,Central,TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,-0.1573076816081249,2.0,0.0,131.98,-0.1573076816081249,181,1,2018,1
209,CA-2018-135860,2018-01-12,2018-07-12,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601.0,Central,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",-0.3409842320611166,0.0,0.0,15.92,-0.3409842320611166,181,1,2018,1
210,CA-2018-135860,2018-01-12,2018-07-12,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601.0,Central,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",-0.2834250717993959,1.0,0.0,52.29,-0.2834250717993958,181,1,2018,1
211,CA-2018-135860,2018-01-12,2018-07-12,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601.0,Central,OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",-0.2205958536968302,2.0,0.0,91.99,-0.2205958536968301,181,1,2018,1
213,CA-2016-146262,2016-02-01,2016-09-01,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256.0,East,OFF-LA-10004544,Office Supplies,Labels,Avery 505,-0.3287032564320005,1.0,0.0,23.68,-0.3287032564320005,213,2,2016,1
215,CA-2016-146262,2016-02-01,2016-09-01,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256.0,East,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,-0.2665039131104127,2.0,0.0,62.982,-0.2665039131104127,213,2,2016,1
217,CA-2016-146262,2016-02-01,2016-09-01,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256.0,East,TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,-0.2244035891818371,2.0,0.0,89.584,-0.2244035891818371,213,2,2016,1
232,US-2018-100930,2018-07-04,2018-12-04,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,Florida,33614.0,South,FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table,0.0039276015225901,3.0,1.0,233.86,0.0039276015225902,153,7,2018,1
233,US-2018-100930,2018-07-04,2018-12-04,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,Florida,33614.0,South,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,0.6160052547379234,3.0,1.0,620.6145,0.6160052547379236,153,7,2018,1
234,US-2018-100930,2018-07-04,2018-12-04,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,Florida,33614.0,South,OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems,-0.3577471307548792,0.0,0.0,5.328,-0.3577471307548792,153,7,2018,1
235,US-2018-100930,2018-07-04,2018-12-04,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,Florida,33614.0,South,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",0.0422455115653941,3.0,1.0,258.072,0.0422455115653942,153,7,2018,1
236,US-2018-100930,2018-07-04,2018-12-04,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,Florida,33614.0,South,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,0.6118295647640287,3.0,1.0,617.976,0.6118295647640288,153,7,2018,1
238,CA-2017-157749,2017-04-06,2017-09-06,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610.0,Central,OFF-PA-10003349,Office Supplies,Paper,Xerox 1957,-0.3251582325390598,1.0,0.0,25.92,-0.3251582325390597,153,4,2017,1
239,CA-2017-157749,2017-04-06,2017-09-06,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610.0,Central,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,0.2980063246414504,3.0,1.0,419.68,0.2980063246414505,153,4,2017,1
240,CA-2017-157749,2017-04-06,2017-09-06,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610.0,Central,FUR-FU-10004351,Furniture,Furnishings,Staple-based wall hangings,-0.3476817950588511,0.0,0.0,11.688,-0.347681795058851,153,4,2017,1
241,CA-2017-157749,2017-04-06,2017-09-06,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610.0,Central,TEC-PH-10000011,Technology,Phones,PureGear Roll-On Screen Protector,-0.3155613464288845,1.0,0.0,31.984,-0.3155613464288844,153,4,2017,1
242,CA-2017-157749,2017-04-06,2017-09-06,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610.0,Central,FUR-TA-10002607,Furniture,Tables,KI Conference Tables,-0.0857029467705787,2.0,0.0,177.225,-0.0857029467705787,153,4,2017,1
243,CA-2017-157749,2017-04-06,2017-09-06,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610.0,Central,FUR-FU-10002505,Furniture,Furnishings,Eldon 100 Class Desk Accessories,-0.3597791890935113,0.0,0.0,4.044,-0.3597791890935113,153,4,2017,1
244,CA-2017-157749,2017-04-06,2017-09-06,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610.0,Central,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",-0.3544553228542915,0.0,0.0,7.408,-0.3544553228542914,153,4,2017,1
246,CA-2015-131926,2015-01-06,2015-06-06,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044.0,Central,OFF-ST-10002276,Office Supplies,Storage,Safco Steel Mobile File Cart,-0.1023281592684994,2.0,0.0,166.72,-0.1023281592684994,151,1,2015,1
247,CA-2015-131926,2015-01-06,2015-06-06,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044.0,Central,OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",-0.290404337588623,1.0,0.0,47.88,-0.2904043375886229,151,1,2015,1
249,CA-2015-131926,2015-01-06,2015-06-06,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044.0,Central,OFF-PA-10000061,Office Supplies,Paper,Xerox 205,-0.3251582325390598,1.0,0.0,25.92,-0.3251582325390597,151,1,2015,1
259,CA-2018-163139,2018-01-12,2018-03-12,Second Class,CC-12670,Craig Carreira,Consumer,United States,New York City,New York,10009.0,East,TEC-AC-10000290,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,-0.3339416622738013,1.0,0.0,20.37,-0.3339416622738013,59,1,2018,1
260,CA-2018-163139,2018-01-12,2018-03-12,Second Class,CC-12670,Craig Carreira,Consumer,United States,New York City,New York,10009.0,East,OFF-ST-10002790,Office Supplies,Storage,Safco Industrial Shelving,-0.0155542038890617,3.0,0.0,221.55,-0.0155542038890617,59,1,2018,1
261,CA-2018-163139,2018-01-12,2018-03-12,Second Class,CC-12670,Craig Carreira,Consumer,United States,New York City,New York,10009.0,East,OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch,-0.3384520721375875,0.0,0.0,17.52,-0.3384520721375875,59,1,2018,1
262,US-2018-155299,2018-08-06,2018-12-06,Standard Class,Dl-13600,Dorris liebe,Corporate,United States,Pasadena,Texas,77506.0,Central,OFF-AP-10002203,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,-0.3636090809778491,0.0,0.0,1.624,-0.363609080977849,122,8,2018,1
283,CA-2016-130890,2016-02-11,2016-06-11,Standard Class,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,90004.0,West,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",1.2778889110491216,3.0,1.0,1038.84,1.2778889110491216,121,2,2016,1
305,CA-2016-144253,2016-04-05,2016-09-05,Second Class,AS-10225,Alan Schoenberger,Corporate,United States,New York City,New York,10024.0,East,FUR-FU-10002671,Furniture,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,-0.3237655445811188,1.0,0.0,26.8,-0.3237655445811187,153,4,2016,1
307,CA-2015-111003,2015-01-06,2015-06-06,Standard Class,CR-12625,Corey Roper,Home Office,United States,Lakewood,New Jersey,8701.0,East,OFF-BI-10001072,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",-0.2942025774739166,1.0,0.0,45.48,-0.2942025774739166,151,1,2015,1
308,CA-2015-111003,2015-01-06,2015-06-06,Standard Class,CR-12625,Corey Roper,Home Office,United States,Lakewood,New Jersey,8701.0,East,OFF-AR-10002135,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,0.0915086828776527,3.0,1.0,289.2,0.0915086828776527,151,1,2015,1
318,CA-2015-164973,2015-04-11,2015-09-11,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,10024.0,East,FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,-0.1511323765946183,2.0,0.0,135.882,-0.1511323765946183,153,4,2015,1
320,CA-2015-164973,2015-04-11,2015-09-11,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,10024.0,East,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,0.0705234075114053,3.0,1.0,275.94,0.0705234075114054,153,4,2015,1
321,CA-2015-164973,2015-04-11,2015-09-11,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,10024.0,East,TEC-AC-10000892,Technology,Accessories,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,0.2035567594938151,3.0,1.0,360.0,0.2035567594938152,153,4,2015,1
322,CA-2015-164973,2015-04-11,2015-09-11,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,10024.0,East,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",-0.2972253433826295,1.0,0.0,43.57,-0.2972253433826294,153,4,2015,1
326,CA-2018-153339,2018-03-11,2018-05-11,Second Class,DJ-13510,Don Jones,Corporate,United States,Murfreesboro,Tennessee,37130.0,South,FUR-FU-10001967,Furniture,Furnishings,Telescoping Adjustable Floor Lamp,-0.3408702848645578,0.0,0.0,15.992,-0.3408702848645578,61,3,2018,1
335,CA-2016-137946,2016-01-09,2016-04-09,Second Class,DB-13615,Doug Bickford,Consumer,United States,Los Angeles,California,90045.0,West,OFF-BI-10001922,Office Supplies,Binders,Storex Dura Pro Binders,-0.3586587083273497,0.0,0.0,4.752,-0.3586587083273496,91,1,2016,1
336,CA-2016-137946,2016-01-09,2016-04-09,Second Class,DB-13615,Doug Bickford,Consumer,United States,Los Angeles,California,90045.0,West,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,1.1530914092179905,3.0,1.0,959.984,1.1530914092179905,91,1,2016,1
337,CA-2016-137946,2016-01-09,2016-04-09,Second Class,DB-13615,Doug Bickford,Consumer,United States,Los Angeles,California,90045.0,West,OFF-BI-10004140,Office Supplies,Binders,Avery Non-Stick Binders,-0.3434404271869399,0.0,0.0,14.368,-0.3434404271869398,91,1,2016,1
347,CA-2018-134306,2018-08-07,2018-12-07,Standard Class,TD-20995,Tamara Dahlen,Consumer,United States,Lowell,Massachusetts,1852.0,East,OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",-0.3542147676615562,0.0,0.0,7.56,-0.3542147676615561,122,8,2018,1
348,CA-2018-134306,2018-08-07,2018-12-07,Standard Class,TD-20995,Tamara Dahlen,Consumer,United States,Lowell,Massachusetts,1852.0,East,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,-0.3273105684740595,1.0,0.0,24.56,-0.3273105684740595,122,8,2018,1
